Cruise	Station	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Sea pressure [decibar]	QV:ARGO	Practical salinity [psu]	QV:ARGO	Sea temperature [degree_Celsius]	QV:ARGO
					30.3	1	35.561	1	12.711	1
					1800.1	1	35.024	1	4.265	1
					1400.3	1	35.394	1	7.012	1
					90.4	1	35.561	1	12.716	1
					1600.2	1	35.076	1	4.865	1
					60	1	35.561	1	12.716	1
					1500.3	1	35.23	1	5.927	1
					180.1	1	35.601	1	11.732	1
					900.4	1	35.704	1	9.992	1
					340.3	1	35.571	1	11.333	1
					39.7	1	35.561	1	12.711	1
					250	1	35.601	1	11.543	1
					329.8	1	35.577	1	11.363	1
					230	1	35.603	1	11.572	1
					450.2	1	35.549	1	11.099	1
					50.2	1	35.561	1	12.715	1
					400.2	1	35.565	1	11.252	1
					8.3	1	35.561	1	12.707	1
					650.5	1	35.587	1	10.686	1
					850	1	35.688	1	10.153	1
					109.9	1	35.562	1	12.714	1
					1199.7	1	35.64	1	8.651	1
					199.7	1	35.597	1	11.661	1
					160.5	1	35.607	1	11.806	1
					260.2	1	35.599	1	11.523	1
					1000.5	1	35.737	1	9.725	1
					219.9	1	35.596	1	11.605	1
					240.3	1	35.602	1	11.561	1
					120.3	1	35.557	1	12.72	1
					5	1	35.561	1	12.706	1
					99.9	1	35.561	1	12.716	1
					280.3	1	35.597	1	11.506	1
					359.9	1	35.571	1	11.308	1
					1300.5	1	35.534	1	7.907	1
					17.8	1	35.561	1	12.706	1
					319.9	1	35.58	1	11.39	1
					190.5	1	35.599	1	11.696	1
					700.1	1	35.628	1	10.568	1
					1549.9	1	35.133	1	5.282	1
					1749.4	1	35.017	1	4.307	1
					950.2	1	35.718	1	9.838	1
					1450.4	1	35.287	1	6.331	1
					150.6	1	35.614	1	11.875	1
					69.4	1	35.561	1	12.717	1
					499.6	1	35.536	1	10.976	1
					290.4	1	35.593	1	11.482	1
					210.2	1	35.594	1	11.627	1
					379.8	1	35.567	1	11.269	1
					300.1	1	35.581	1	11.423	1
					170.1	1	35.603	1	11.754	1
					1349.9	1	35.476	1	7.541	1
					129.8	1	35.585	1	12.334	1
					800.5	1	35.669	1	10.308	1
					1150.1	1	35.675	1	8.953	1
					1649.9	1	35.032	1	4.568	1
					1250.5	1	35.589	1	8.278	1
					270.1	1	35.597	1	11.516	1
					310.4	1	35.573	1	11.373	1
					1100	1	35.71	1	9.267	1
					350	1	35.572	1	11.327	1
					1050.3	1	35.72	1	9.455	1
					550.3	1	35.544	1	10.915	1
					750.2	1	35.642	1	10.425	1
6900444	42664682	2016-01-03T05:01:57Z	-16.114	48.23	988	1	35.481	1	8.268	1
					1238	1	35.24	1	6.169	1
					213	1	35.622	1	12.281	1
					156	1	35.524	1	12.614	1
					195	1	35.613	1	12.34	1
					763	1	35.235	1	8.586	1
					488	1	35.497	1	10.838	1
					663	1	35.467	1	10.055	1
					1213	1	35.26	1	6.333	1
					1088	1	35.374	1	7.342	1
					115	1	35.52	1	12.602	1
					1138	1	35.319	1	6.876	1
					238	1	35.62	1	12.192	1
					136	1	35.524	1	12.611	1
					66	1	35.518	1	12.592	1
					175	1	35.537	1	12.602	1
					86	1	35.518	1	12.595	1
					738	1	35.295	1	8.987	1
					338	1	35.566	1	11.581	1
					25	1	35.518	1	12.585	1
					613	1	35.455	1	10.252	1
